Container is store 10000 elements:
0: It Cyclic cipher: ciphered_text = x, deciphered_text = a, Division = 97.0
1165: It Number cipher: ciphered_text =  7260620983513063591012103024, deciphered_text = edybrpogfncjtnjbb, function_result = 106.17647058823529
1166: It Number cipher: ciphered_text =  14633535205366081247012180810018, deciphered_text = fqbeqobfptablqdls, function_result = 106.17647058823529
1167: It Number cipher: ciphered_text =  86342804578190542124281442428, deciphered_text = vsddbbaaldmqzgwf, function_result = 106.1875
1168: It Cyclic cipher: ciphered_text = veysh, deciphered_text = foicr, Division = 106.2
1169: It Cyclic cipher: ciphered_text = tjxwuxicvz, deciphered_text = yocbzcnhae, Division = 106.2
1170: It Symbols cipher: ciphered_text = swtpe, deciphered_text = aemzf, function_result = 106.2
1171: It Symbols cipher: ciphered_text = shaalulpfu, deciphered_text = pderiashua, function_result = 106.2
1172: It Symbols cipher: ciphered_text = fxtfb, deciphered_text = yflbf, function_result = 106.2
1173: It Symbols cipher: ciphered_text = whebq, deciphered_text = ajpnj, function_result = 106.2
1174: It Symbols cipher: ciphered_text = mwtfc, deciphered_text = awmam, function_result = 106.2
1175: It Cyclic cipher: ciphered_text = anztyegzzt, deciphered_text = boauzfhaau, Division = 106.2
1176: It Cyclic cipher: ciphered_text = kjeeo, deciphered_text = lkffp, Division = 106.2
1177: It Symbols cipher: ciphered_text = dmxnxetpbt, deciphered_text = nugcgalvdk, function_result = 106.2
1178: It Symbols cipher: ciphered_text = mxokg, deciphered_text = audud, function_result = 106.2
1179: It Cyclic cipher: ciphered_text = zjfujbfygw, deciphered_text = gqmbqimfnd, Division = 106.2
1180: It Symbols cipher: ciphered_text = iaelf, deciphered_text = cdtbv, function_result = 106.2
1181: It Symbols cipher: ciphered_text = tiftclzefr, deciphered_text = cjoqbkbsoh, function_result = 106.2
1182: It Cyclic cipher: ciphered_text = wyxfj, deciphered_text = zbaim, Division = 106.2
1183: It Symbols cipher: ciphered_text = fjpzz, deciphered_text = lebqo, function_result = 106.2
1184: It Symbols cipher: ciphered_text = iiyif, deciphered_text = uefdo, function_result = 106.2
1185: It Cyclic cipher: ciphered_text = ybwpq, deciphered_text = cfatu, Division = 106.2
1186: It Cyclic cipher: ciphered_text = scpvsvgpuw, deciphered_text = blyebepydf, Division = 106.2
1187: It Symbols cipher: ciphered_text = vhxhr, deciphered_text = eehwj, function_result = 106.2
1188: It Symbols cipher: ciphered_text = njlch, deciphered_text = rbdve, function_result = 106.2
1189: It Number cipher: ciphered_text =  8042042202436181620542584961015305, deciphered_text = rhfghtfceorcebpjyod, function_result = 106.21052631578948
1190: It Symbols cipher: ciphered_text = evtmicutz, deciphered_text = obdzetpac, function_result = 106.22222222222223
1191: It Number cipher: ciphered_text =  101250641422040414182045081258018, deciphered_text = fhpzbjahgpjhibnzhg, function_result = 106.22222222222223
1192: It Symbols cipher: ciphered_text = otuaqqjhk, deciphered_text = dkmniglau, function_result = 106.22222222222223
1193: It Symbols cipher: ciphered_text = fsvvduaqk, deciphered_text = bqjdvviea, function_result = 106.22222222222223
1194: It Symbols cipher: ciphered_text = xhbzdpegh, deciphered_text = oufpfdedo, function_result = 106.22222222222223
1195: It Symbols cipher: ciphered_text = jcypuhipr, deciphered_text = hxnkfgdme, function_result = 106.22222222222223
1196: It Symbols cipher: ciphered_text = ugdmrklqr, deciphered_text = lrmebtdfl, function_result = 106.22222222222223
1197: It Symbols cipher: ciphered_text = jumvscljl, deciphered_text = xmbewmdfb, function_result = 106.22222222222223
1198: It Symbols cipher: ciphered_text = gezytgiel, deciphered_text = hrnufledd, function_result = 106.22222222222223
1199: It Number cipher: ciphered_text =  1063633290307236204260146012612, deciphered_text = lkdhfdpcyqfvfdken, function_result = 106.23529411764706
1200: It Cyclic cipher: ciphered_text = diuy, deciphered_text = fkwa, Division = 106.25
1201: It Symbols cipher: ciphered_text = xrae, deciphered_text = mofg, function_result = 106.25
1202: It Cyclic cipher: ciphered_text = cekluzsy, deciphered_text = kmstchag, Division = 106.25
1203: It Symbols cipher: ciphered_text = reut, deciphered_text = vbpa, function_result = 106.25
1204: It Number cipher: ciphered_text =  5645804030455072454247212283228, deciphered_text = mpnqwiienfaaqjha, function_result = 106.25
1205: It Number cipher: ciphered_text =  3018100288080602238032635860, deciphered_text = ddvwedawnbqcndjn, function_result = 106.25
1206: It Symbols cipher: ciphered_text = cvan, deciphered_text = aiju, function_result = 106.25
1207: It Cyclic cipher: ciphered_text = jxdw, deciphered_text = rfle, Division = 106.25
1208: It Cyclic cipher: ciphered_text = chrx, deciphered_text = mrbh, Division = 106.25
1209: It Symbols cipher: ciphered_text = mtvalzbn, deciphered_text = laiijkjt, function_result = 106.25
1210: It Cyclic cipher: ciphered_text = lgwszzqx, deciphered_text = pkawddub, Division = 106.25
1211: It Symbols cipher: ciphered_text = eisk, deciphered_text = cshk, function_result = 106.25
1212: It Symbols cipher: ciphered_text = xgcy, deciphered_text = ecpq, function_result = 106.25
1213: It Number cipher: ciphered_text =  750949654168406018158162463, deciphered_text = aimefgouecihqqmo, function_result = 106.25
1214: It Cyclic cipher: ciphered_text = jkus, deciphered_text = rsca, Division = 106.25
1215: It Cyclic cipher: ciphered_text = ylhx, deciphered_text = ernd, Division = 106.25
1216: It Cyclic cipher: ciphered_text = yqvs, deciphered_text = hzeb, Division = 106.25
1217: It Symbols cipher: ciphered_text = lttvwgqs, deciphered_text = qkxbbgar, function_result = 106.25
1218: It Cyclic cipher: ciphered_text = faylknni, deciphered_text = hcanmppk, Division = 106.25
1219: It Symbols cipher: ciphered_text = ukfb, deciphered_text = mpbj, function_result = 106.25
1220: It Symbols cipher: ciphered_text = nenyxaei, deciphered_text = imsegcxb, function_result = 106.25
1221: It Symbols cipher: ciphered_text = ngfuhgbh, deciphered_text = dbhenesy, function_result = 106.25
1222: It Cyclic cipher: ciphered_text = tmzb, deciphered_text = buhj, Division = 106.25
1223: It Symbols cipher: ciphered_text = vjwytwha, deciphered_text = qcaoilte, function_result = 106.25
1224: It Symbols cipher: ciphered_text = fuuuhxqd, deciphered_text = kjphaaqr, function_result = 106.25
1225: It Symbols cipher: ciphered_text = pydf, deciphered_text = ufma, function_result = 106.25
1226: It Cyclic cipher: ciphered_text = mhay, deciphered_text = rmfd, Division = 106.25
1227: It Number cipher: ciphered_text =  2548301480504912100505424544866890, deciphered_text = nfecwazdmgfwgddpmbr, function_result = 106.26315789473684
1228: It Number cipher: ciphered_text =  18102150903123027204048949601516204, deciphered_text = mmabkkwyfhjnabhgpkm, function_result = 106.26315789473684
1229: It Number cipher: ciphered_text =  70564445530810010904810045, deciphered_text = ikbidbufgumzijd, function_result = 106.26666666666667
1230: It Number cipher: ciphered_text =  18322440181650103618635440325, deciphered_text = ydmoakhgfscbaxo, function_result = 106.26666666666667
1231: It Number cipher: ciphered_text =  49186355281525424502495630, deciphered_text = dkvgrsgbkloecii, function_result = 106.26666666666667
1232: It Number cipher: ciphered_text =  1010427801060506271640352010, deciphered_text = sgbjnrdhybghhqe, function_result = 106.26666666666667
1233: It Number cipher: ciphered_text =  67635610142616940163072563036, deciphered_text = lmlwltjesaboemjbhc, function_result = 106.27777777777777
1234: It Cyclic cipher: ciphered_text = saizggo, deciphered_text = uckbiiq, Division = 106.28571428571429
1235: It Cyclic cipher: ciphered_text = agpdlzk, deciphered_text = djsgocn, Division = 106.28571428571429
1236: It Symbols cipher: ciphered_text = nakpjyr, deciphered_text = ggswdge, function_result = 106.28571428571429
1237: It Cyclic cipher: ciphered_text = iywpczf, deciphered_text = oecvifl, Division = 106.28571428571429
1238: It Symbols cipher: ciphered_text = ypwzdpn, deciphered_text = zdmbdlk, function_result = 106.28571428571429
1239: It Number cipher: ciphered_text =  18242856128163218104532201892112, deciphered_text = fmacztrejmlobolca, function_result = 106.29411764705883
1240: It Number cipher: ciphered_text =  470281032353524496016404010604, deciphered_text = devrlagsoabcbkpyl, function_result = 106.29411764705883
1241: It Number cipher: ciphered_text =  1824104241066484914324207250483268, deciphered_text = laspaduenecaihrnvcdz, function_result = 106.3
1242: It Symbols cipher: ciphered_text = tptjgueamu, deciphered_text = uftcgjilej, function_result = 106.3
1243: It Symbols cipher: ciphered_text = aeqhdxffkj, deciphered_text = bikmtbvbjl, function_result = 106.3
1244: It Cyclic cipher: ciphered_text = tudpufsrlf, deciphered_text = cdmydobauo, Division = 106.3
1245: It Cyclic cipher: ciphered_text = xbhjmxsgdd, deciphered_text = bflnqbwkhh, Division = 106.3
1246: It Symbols cipher: ciphered_text = mwsxicxatw, deciphered_text = vsdgddkwbg, function_result = 106.3
1247: It Symbols cipher: ciphered_text = nnrssqzgyv, deciphered_text = jfaoufmgkm, function_result = 106.3
1248: It Number cipher: ciphered_text =  16246209242428705620810, deciphered_text = ezeafaomkbxvc, function_result = 106.3076923076923
1249: It Number cipher: ciphered_text =  535661561270704818606, deciphered_text = thcgbddvgkmyh, function_result = 106.3076923076923
1250: It Number cipher: ciphered_text =  4020125152821203028702048, deciphered_text = bhpmzfdebolkn, function_result = 106.3076923076923
1251: It Number cipher: ciphered_text =  72354062031063281021454647260, deciphered_text = ajcigtreawpjnbdv, function_result = 106.3125
1252: It Number cipher: ciphered_text =  6381401030151470124816805361818, deciphered_text = iqccczamjuaacyjs, function_result = 106.3125
1253: It Symbols cipher: ciphered_text = xrv, deciphered_text = atj, function_result = 106.33333333333333
1254: It Cyclic cipher: ciphered_text = xwf, deciphered_text = hgp, Division = 106.33333333333333
1255: It Cyclic cipher: ciphered_text = lbxjlscyk, deciphered_text = oeamovfbn, Division = 106.33333333333333
1256: It Cyclic cipher: ciphered_text = pyx, deciphered_text = ved, Division = 106.33333333333333
1257: It Cyclic cipher: ciphered_text = zgphaopww, deciphered_text = dktlestaa, Division = 106.33333333333333
1258: It Cyclic cipher: ciphered_text = kam, deciphered_text = mco, Division = 106.33333333333333
1259: It Cyclic cipher: ciphered_text = lqbaxv, deciphered_text = rwhgdb, Division = 106.33333333333333
1260: It Symbols cipher: ciphered_text = jxo, deciphered_text = gdt, function_result = 106.33333333333333
1261: It Cyclic cipher: ciphered_text = ipz, deciphered_text = krb, Division = 106.33333333333333
1262: It Number cipher: ciphered_text =  1224316365050284451524189016, deciphered_text = nabtyaigehggyqg, function_result = 106.33333333333333
1263: It Number cipher: ciphered_text =  1028806363882042368081503630, deciphered_text = svdonbjgbadeaxy, function_result = 106.33333333333333
1264: It Symbols cipher: ciphered_text = yfkyvh, deciphered_text = sdkcvc, function_result = 106.33333333333333
1265: It Symbols cipher: ciphered_text = ldvrov, deciphered_text = jpesak, function_result = 106.33333333333333
1266: It Symbols cipher: ciphered_text = ijl, deciphered_text = ved, function_result = 106.33333333333333
1267: It Cyclic cipher: ciphered_text = xzf, deciphered_text = gio, Division = 106.33333333333333
1268: It Cyclic cipher: ciphered_text = clhcynoqd, deciphered_text = enjeapqsf, Division = 106.33333333333333
1269: It Symbols cipher: ciphered_text = qpu, deciphered_text = omc, function_result = 106.33333333333333
1270: It Symbols cipher: ciphered_text = kzizklldb, deciphered_text = itpakuabl, function_result = 106.33333333333333
1271: It Symbols cipher: ciphered_text = rlzaad, deciphered_text = fscmmh, function_result = 106.33333333333333
1272: It Symbols cipher: ciphered_text = fzq, deciphered_text = flm, function_result = 106.33333333333333
1273: It Cyclic cipher: ciphered_text = tkv, deciphered_text = duf, Division = 106.33333333333333
1274: It Symbols cipher: ciphered_text = engvpecnn, deciphered_text = pxnchfdco, function_result = 106.33333333333333
1275: It Symbols cipher: ciphered_text = mzi, deciphered_text = wec, function_result = 106.33333333333333
1276: It Symbols cipher: ciphered_text = vbf, deciphered_text = gll, function_result = 106.33333333333333
1277: It Symbols cipher: ciphered_text = sbl, deciphered_text = aui, function_result = 106.33333333333333
1278: It Symbols cipher: ciphered_text = wwrieo, deciphered_text = ibgqir, function_result = 106.33333333333333
1279: It Cyclic cipher: ciphered_text = efk, deciphered_text = hin, Division = 106.33333333333333
1280: It Cyclic cipher: ciphered_text = uqcobsybu, deciphered_text = cykwjagjc, Division = 106.33333333333333
1281: It Symbols cipher: ciphered_text = rfbhvr, deciphered_text = cebplx, function_result = 106.33333333333333
1282: It Symbols cipher: ciphered_text = vns, deciphered_text = iau, function_result = 106.33333333333333
1283: It Symbols cipher: ciphered_text = phzrlq, deciphered_text = ddiowg, function_result = 106.33333333333333
1284: It Number cipher: ciphered_text =  28725686356820122754882, deciphered_text = oeavhfilcoorao, function_result = 106.35714285714286
1285: It Number cipher: ciphered_text =  7230244910083550122472364040, deciphered_text = cagffpmfylizej, function_result = 106.35714285714286
1286: It Number cipher: ciphered_text =  152848287280941525201281024728303, deciphered_text = nidbdhfmciexggooomx, function_result = 106.36842105263158
1287: It Number cipher: ciphered_text =  54165442451820408722860182448902149, deciphered_text = oaclaifbuujfplqlkua, function_result = 106.36842105263158
1288: It Number cipher: ciphered_text =  918948343187054162085722845161, deciphered_text = depbledcrajfexeyrrp, function_result = 106.36842105263158
1289: It Symbols cipher: ciphered_text = lqjgjtwg, deciphered_text = jdpqxcah, function_result = 106.375
1290: It Cyclic cipher: ciphered_text = ejrytwnz, deciphered_text = nsahcfwi, Division = 106.375
1291: It Cyclic cipher: ciphered_text = cwegtiyk, deciphered_text = gaikxmco, Division = 106.375
1292: It Cyclic cipher: ciphered_text = neykaylr, deciphered_text = qhbndbou, Division = 106.375
1293: It Symbols cipher: ciphered_text = zqybndsc, deciphered_text = ffcyfwhf, function_result = 106.375
1294: It Symbols cipher: ciphered_text = gdkxkisy, deciphered_text = eecwlooe, function_result = 106.375
1295: It Cyclic cipher: ciphered_text = jsyccnpc, deciphered_text = luaeepre, Division = 106.375
1296: It Symbols cipher: ciphered_text = dyonsqlb, deciphered_text = cnjrzbdf, function_result = 106.375
1297: It Cyclic cipher: ciphered_text = yvdpefeb, deciphered_text = bygshihe, Division = 106.375
1298: It Symbols cipher: ciphered_text = qshebiyb, deciphered_text = amnbfjly, function_result = 106.375
1299: It Number cipher: ciphered_text =  416246090161430211214416, deciphered_text = ucaqgbqhnrmck, function_result = 106.38461538461539
1300: It Number cipher: ciphered_text =  12183632366430163921241824420424, deciphered_text = gkweghbxjbaflijskt, function_result = 106.38888888888889
1301: It Number cipher: ciphered_text =  210635640660246127063304224728040, deciphered_text = kadkrrappkncuemeji, function_result = 106.38888888888889
1302: It Number cipher: ciphered_text =  153060912501633963302510136428, deciphered_text = ibdckbotlkgvanpolk, function_result = 106.38888888888889
1303: It Symbols cipher: ciphered_text = shkcc, deciphered_text = cdfzm, function_result = 106.4
1304: It Symbols cipher: ciphered_text = csfrtzranp, deciphered_text = gncucvhfgm, function_result = 106.4
1305: It Number cipher: ciphered_text =  3663232890632211632414810502718832, deciphered_text = igarrijoaldbfknzwarc, function_result = 106.4
1306: It Symbols cipher: ciphered_text = gglcb, deciphered_text = vdafs, function_result = 106.4
1307: It Symbols cipher: ciphered_text = rlshh, deciphered_text = odrkd, function_result = 106.4
1308: It Cyclic cipher: ciphered_text = alzty, deciphered_text = epdxc, Division = 106.4
1309: It Symbols cipher: ciphered_text = xwzpoyofij, deciphered_text = exrcwscfba, function_result = 106.4
1310: It Symbols cipher: ciphered_text = bxiyo, deciphered_text = glnji, function_result = 106.4
1311: It Symbols cipher: ciphered_text = wnuin, deciphered_text = tamco, function_result = 106.4
1312: It Number cipher: ciphered_text =  1654204845935732630124018, deciphered_text = ziqjqbdgfmhfral, function_result = 106.4
1313: It Cyclic cipher: ciphered_text = sdrftsmavf, deciphered_text = alznbauidn, Division = 106.4
1314: It Cyclic cipher: ciphered_text = nmaqb, deciphered_text = onbrc, Division = 106.4
1315: It Cyclic cipher: ciphered_text = kzmbk, deciphered_text = ncpen, Division = 106.4
1316: It Number cipher: ciphered_text =  121095316815045450203550123263453664, deciphered_text = hbajrzhlokcsbjnhwbke, function_result = 106.4
1317: It Cyclic cipher: ciphered_text = auwdj, deciphered_text = jdfms, Division = 106.4
1318: It Symbols cipher: ciphered_text = sstpggbujw, deciphered_text = kcinqhpqed, function_result = 106.4
1319: It Number cipher: ciphered_text =  9483548201515184530205128110, deciphered_text = ufeaomwkjicarsa, function_result = 106.4
1320: It Symbols cipher: ciphered_text = dytazyxqqo, deciphered_text = cjogvcuhfi, function_result = 106.4
1321: It Symbols cipher: ciphered_text = sieid, deciphered_text = fnepk, function_result = 106.4
1322: It Cyclic cipher: ciphered_text = qhfxh, deciphered_text = tkiak, Division = 106.4
1323: It Cyclic cipher: ciphered_text = zjvifukkbb, deciphered_text = akwjgvllcc, Division = 106.4
1324: It Number cipher: ciphered_text =  1442451224525212415406, deciphered_text = najodpnjidcy, function_result = 106.41666666666667
1325: It Symbols cipher: ciphered_text = igrejjb, deciphered_text = yeghhdp, function_result = 106.42857142857143
1326: It Symbols cipher: ciphered_text = rqpbkty, deciphered_text = fhthjil, function_result = 106.42857142857143
1327: It Symbols cipher: ciphered_text = nkvlmfd, deciphered_text = ecgyoqa, function_result = 106.42857142857143
1328: It Symbols cipher: ciphered_text = knoniov, deciphered_text = bszahpa, function_result = 106.42857142857143
1329: It Cyclic cipher: ciphered_text = bozytoa, deciphered_text = ercbwrd, Division = 106.42857142857143
1330: It Symbols cipher: ciphered_text = nbudedg, deciphered_text = ljamtdm, function_result = 106.42857142857143
1331: It Cyclic cipher: ciphered_text = rfybahd, deciphered_text = wkdgfmi, Division = 106.42857142857143
1332: It Symbols cipher: ciphered_text = cpynbfp, deciphered_text = ndbmphp, function_result = 106.42857142857143
1333: It Cyclic cipher: ciphered_text = lbkclad, deciphered_text = pfogpeh, Division = 106.42857142857143
1334: It Cyclic cipher: ciphered_text = rccufgd, deciphered_text = alldopm, Division = 106.42857142857143
1335: It Symbols cipher: ciphered_text = msospwc, deciphered_text = eacqzmh, function_result = 106.42857142857143
1336: It Cyclic cipher: ciphered_text = zeqchjw, deciphered_text = afrdikx, Division = 106.42857142857143
1337: It Number cipher: ciphered_text =  7105018103016402445301880, deciphered_text = aqashibukiqhre, function_result = 106.42857142857143
1338: It Number cipher: ciphered_text =  184591240661081542446, deciphered_text = mdlnenhiqgfgsk, function_result = 106.42857142857143
1339: It Symbols cipher: ciphered_text = zfycwzlnr, deciphered_text = ddgrvbuke, function_result = 106.44444444444444
1340: It Number cipher: ciphered_text =  12405412149020423056532366321369070, deciphered_text = fiwrfataujjxgefrba, function_result = 106.44444444444444
1341: It Cyclic cipher: ciphered_text = rcfkswsto, deciphered_text = bmpucgcdy, Division = 106.44444444444444
1342: It Number cipher: ciphered_text =  484064362764840323270728072615161228, deciphered_text = mcpgzchdvrcichanhrrg, function_result = 106.45
1343: It Number cipher: ciphered_text =  440100208063040327060368124353636328, deciphered_text = plnschgilcmponpanbje, function_result = 106.45
1344: It Number cipher: ciphered_text =  603556203422016706210, deciphered_text = ckjbcfdkyukwf, function_result = 106.46153846153847
1345: It Number cipher: ciphered_text =  52362730213248314318650, deciphered_text = gsorfdewgcfdigx, function_result = 106.46666666666667
1346: It Number cipher: ciphered_text =  30615809244036436183218454, deciphered_text = jbvqdigbpgmctrg, function_result = 106.46666666666667
1347: It Number cipher: ciphered_text =  6912708164530631220353550122872, deciphered_text = vcdhckihlgjgpwarp, function_result = 106.47058823529412
1348: It Number cipher: ciphered_text =  901828804049561610245459056246561815, deciphered_text = vovdximtjbcibdggnjb, function_result = 106.47368421052632
1349: It Symbols cipher: ciphered_text = wchacj, deciphered_text = nhfrap, function_result = 106.5
1350: It Symbols cipher: ciphered_text = kfrjzqaejr, deciphered_text = gkugkmicni, function_result = 106.5
1351: It Number cipher: ciphered_text =  28152440246327100306610092042, deciphered_text = mmbervufldkjbikcve, function_result = 106.5
1352: It Symbols cipher: ciphered_text = kvxrefrasg, deciphered_text = euciaokmpk, function_result = 106.5
1353: It Cyclic cipher: ciphered_text = zs, deciphered_text = at, Division = 106.5
1354: It Cyclic cipher: ciphered_text = hu, deciphered_text = qd, Division = 106.5
1355: It Number cipher: ciphered_text =  4570154542427151890770, deciphered_text = awrcgcjkfkro, function_result = 106.5
1356: It Symbols cipher: ciphered_text = vqalkc, deciphered_text = ucfobp, function_result = 106.5
1357: It Symbols cipher: ciphered_text = njlq, deciphered_text = glin, function_result = 106.5
1358: It Cyclic cipher: ciphered_text = ls, deciphered_text = ta, Division = 106.5
1359: It Symbols cipher: ciphered_text = vxzcci, deciphered_text = nbezcm, function_result = 106.5
1360: It Cyclic cipher: ciphered_text = gv, deciphered_text = pe, Division = 106.5
1361: It Cyclic cipher: ciphered_text = zvuo, deciphered_text = iedx, Division = 106.5
1362: It Cyclic cipher: ciphered_text = zzcyybyr, deciphered_text = hhkggjgz, Division = 106.5
1363: It Cyclic cipher: ciphered_text = emfyihazxp, deciphered_text = jrkdnmfecu, Division = 106.5
1364: It Symbols cipher: ciphered_text = iaahfavtdq, deciphered_text = cqrjpgacsk, function_result = 106.5
1365: It Number cipher: ciphered_text =  92428632749497218182863429050, deciphered_text = menaxcdfmlqmkibu, function_result = 106.5
1366: It Symbols cipher: ciphered_text = ztemoiie, deciphered_text = gdibolto, function_result = 106.5
1367: It Cyclic cipher: ciphered_text = glsfgf, deciphered_text = hmtghg, Division = 106.5
1368: It Cyclic cipher: ciphered_text = oblw, deciphered_text = sfpa, Division = 106.5
1369: It Cyclic cipher: ciphered_text = vkmcoyjw, deciphered_text = aprhtdob, Division = 106.5
1370: It Cyclic cipher: ciphered_text = xhhyik, deciphered_text = cmmdnp, Division = 106.5
1371: It Cyclic cipher: ciphered_text = ixwr, deciphered_text = ncbw, Division = 106.5
1372: It Number cipher: ciphered_text =  590367248566035352720168018, deciphered_text = cdtuaaefzbsrqd, function_result = 106.5
1373: It Cyclic cipher: ciphered_text = wgrz, deciphered_text = blwe, Division = 106.5
1374: It Symbols cipher: ciphered_text = pejjxu, deciphered_text = miahqo, function_result = 106.5
1375: It Cyclic cipher: ciphered_text = rjraonzz, deciphered_text = sksbpoaa, Division = 106.5
1376: It Cyclic cipher: ciphered_text = ybjuqlduch, deciphered_text = ehpawrjain, Division = 106.5
1377: It Cyclic cipher: ciphered_text = fe, deciphered_text = kj, Division = 106.5
1378: It Symbols cipher: ciphered_text = aimi, deciphered_text = akhv, function_result = 106.5
1379: It Symbols cipher: ciphered_text = dyunux, deciphered_text = iufgoe, function_result = 106.5
1380: It Cyclic cipher: ciphered_text = nsarxiez, deciphered_text = wbjagrni, Division = 106.5
1381: It Cyclic cipher: ciphered_text = ffem, deciphered_text = iihp, Division = 106.5
1382: It Cyclic cipher: ciphered_text = yoldof, deciphered_text = aqnfqh, Division = 106.5
1383: It Number cipher: ciphered_text =  301830544054162124201840, deciphered_text = hfgduldaywej, function_result = 106.5
1384: It Number cipher: ciphered_text =  1056712906104010573, deciphered_text = esuikawjldib, function_result = 106.5
1385: It Cyclic cipher: ciphered_text = ebqn, deciphered_text = fcro, Division = 106.5
1386: It Cyclic cipher: ciphered_text = wp, deciphered_text = at, Division = 106.5
1387: It Cyclic cipher: ciphered_text = fw, deciphered_text = of, Division = 106.5
1388: It Symbols cipher: ciphered_text = mfsopy, deciphered_text = liseco, function_result = 106.5
1389: It Cyclic cipher: ciphered_text = ba, deciphered_text = kj, Division = 106.5
1390: It Cyclic cipher: ciphered_text = tclc, deciphered_text = udmd, Division = 106.5
1391: It Cyclic cipher: ciphered_text = ddyg, deciphered_text = kkfn, Division = 106.5
1392: It Symbols cipher: ciphered_text = ljhz, deciphered_text = enqf, function_result = 106.5
1393: It Number cipher: ciphered_text =  2433048643010033254563670303690352770, deciphered_text = tdqqfjwmbhgacqcdxjil, function_result = 106.5
1394: It Symbols cipher: ciphered_text = owdvxvas, deciphered_text = hesuofcg, function_result = 106.5
1395: It Symbols cipher: ciphered_text = jjwxdkit, deciphered_text = dnfwfajt, function_result = 106.5
1396: It Cyclic cipher: ciphered_text = haopawhxaj, deciphered_text = mftufbmcfo, Division = 106.5
1397: It Number cipher: ciphered_text =  287723254121421521335, deciphered_text = dxllyhfbgcer, function_result = 106.5
1398: It Cyclic cipher: ciphered_text = ycedtb, deciphered_text = dhjiyg, Division = 106.5
1399: It Number cipher: ciphered_text =  3556427181631027364048154512290, deciphered_text = bkmjaltfykbykfdimpc, function_result = 106.52631578947368
1400: It Number cipher: ciphered_text =  1825724632020631464281520704916, deciphered_text = hfvadtevxgpggaaew, function_result = 106.52941176470588
1401: It Number cipher: ciphered_text =  36710241483550142156024186356, deciphered_text = owreeboieunabiqco, function_result = 106.52941176470588
1402: It Number cipher: ciphered_text =  521916152021281072254242014, deciphered_text = cigavfllcdkeyrt, function_result = 106.53333333333333
1403: It Number cipher: ciphered_text =  1224903610921905631445152456, deciphered_text = qjbkodwbvcqbtgc, function_result = 106.53333333333333
1404: It Number cipher: ciphered_text =  90402414106325636718107054, deciphered_text = pjgkgguaqpfubgi, function_result = 106.53333333333333
1405: It Number cipher: ciphered_text =  608601620402162427421222754, deciphered_text = pjzggbakbgrsfdv, function_result = 106.53333333333333
1406: It Number cipher: ciphered_text =  4040340352056633070121210, deciphered_text = sctcqzhjdhjbg, function_result = 106.53846153846153
1407: It Number cipher: ciphered_text =  50102015325012244572185618, deciphered_text = wijdajsoenefp, function_result = 106.53846153846153
1408: It Cyclic cipher: ciphered_text = ofiuwaxxu, deciphered_text = xordfjggd, Division = 106.55555555555556
1409: It Symbols cipher: ciphered_text = dertdswlq, deciphered_text = krkaauaze, function_result = 106.55555555555556
1410: It Cyclic cipher: ciphered_text = vitwycijw, deciphered_text = ercfhlrsf, Division = 106.55555555555556
1411: It Cyclic cipher: ciphered_text = zpecakhpq, deciphered_text = brgecmjrs, Division = 106.55555555555556
1412: It Number cipher: ciphered_text =  9090101445654705020366356156024100, deciphered_text = ddleywfvjhkbbbdixq, function_result = 106.55555555555556
1413: It Cyclic cipher: ciphered_text = lhwvkts, deciphered_text = uqfetcb, Division = 106.57142857142857
1414: It Symbols cipher: ciphered_text = ausxwik, deciphered_text = eeodbtw, function_result = 106.57142857142857
1415: It Cyclic cipher: ciphered_text = ictbseb, deciphered_text = kevdugd, Division = 106.57142857142857
1416: It Number cipher: ciphered_text =  56161654509181040545456390, deciphered_text = bltliqogwcscea, function_result = 106.57142857142857
1417: It Number cipher: ciphered_text =  2712646207030502728327426, deciphered_text = hhneegwgbtbbzs, function_result = 106.57142857142857
1418: It Symbols cipher: ciphered_text = iwxnfsr, deciphered_text = cjcteor, function_result = 106.57142857142857
1419: It Symbols cipher: ciphered_text = wbdlgzj, deciphered_text = hqnkdpd, function_result = 106.57142857142857
1420: It Symbols cipher: ciphered_text = ywskobl, deciphered_text = jwgndld, function_result = 106.57142857142857
1421: It Symbols cipher: ciphered_text = qhrtqta, deciphered_text = uetbohc, function_result = 106.57142857142857
1422: It Number cipher: ciphered_text =  103051018564254122480634854825801, deciphered_text = bdvfsntemiaiijizsca, function_result = 106.57894736842105
1423: It Number cipher: ciphered_text =  2854701214590308153036427351024272, deciphered_text = kndyfkdpcaevybbuolb, function_result = 106.57894736842105
1424: It Number cipher: ciphered_text =  1443670903298032604864070409728030, deciphered_text = apxkjqicerdtefayjhh, function_result = 106.57894736842105
1425: It Number cipher: ciphered_text =  4821201645450544872901670145494521100, deciphered_text = qfiofyaejhmisgyaehl, function_result = 106.57894736842105
1426: It Number cipher: ciphered_text =  30701632632192090105063, deciphered_text = bwfekvjbyeke, function_result = 106.58333333333333
1427: It Symbols cipher: ciphered_text = bhglh, deciphered_text = nngqa, function_result = 106.6
1428: It Cyclic cipher: ciphered_text = kykur, deciphered_text = thtda, Division = 106.6
1429: It Symbols cipher: ciphered_text = vmshk, deciphered_text = gmvja, function_result = 106.6
1430: It Symbols cipher: ciphered_text = uqnka, deciphered_text = tvdaf, function_result = 106.6
